dPg,dHg,dDg,dPs,dHs,dDs,Outcome
2.10E+00,6.10E+00,1.68E+01,2.98E+00,5.15E+00,1.64E+01,S
1.32E+01,1.95E+01,1.66E+01,4.35E+00,3.26E+00,1.60E+01,S
8.20E+00,9.00E+00,1.67E+01,4.23E+00,2.30E+00,1.61E+01,G
6.40E+00,1.11E+01,1.65E+01,3.32E+00,4.61E+00,1.64E+01,G
3.30E+00,4.60E+00,1.66E+01,3.87E+00,3.06E+00,1.61E+01,G
1.13E+01,1.09E+01,1.78E+01,4.10E+00,2.50E+00,1.60E+01,G
6.40E+00,1.11E+01,1.65E+01,4.02E+00,3.86E+00,1.61E+01,G
1.32E+01,1.34E+01,1.89E+01,1.50E+00,4.70E+00,1.60E+01,G
1.05E+00,3.69E+00,1.66E+01,3.44E+00,4.11E+00,1.62E+01,G
9.70E+00,1.13E+01,1.75E+01,4.10E+00,2.50E+00,1.60E+01,G
1.39E+01,1.35E+01,1.72E+01,4.10E+00,2.50E+00,1.60E+01,G
7.90E+00,9.80E+00,1.72E+01,4.23E+00,2.30E+00,1.61E+01,G
1.13E+01,9.60E+00,1.78E+01,3.72E+00,3.44E+00,1.61E+01,G
2.20E+00,6.07E+00,1.68E+01,3.43E+00,4.46E+00,1.62E+01,S
8.30E+00,1.25E+01,1.70E+01,3.32E+00,4.61E+00,1.64E+01,G
7.00E+00,1.58E+01,1.60E+01,4.23E+00,2.30E+00,1.61E+01,G
7.30E+00,1.37E+01,1.69E+01,3.87E+00,3.06E+00,1.61E+01,G
2.50E+00,5.30E+00,1.65E+01,5.22E+00,1.62E+00,1.58E+01,G
2.50E+00,7.40E+00,1.63E+01,3.72E+00,3.44E+00,1.61E+01,G
1.18E+01,2.03E+01,1.65E+01,6.99E+00,7.63E+00,1.64E+01,S
8.00E+00,1.41E+01,1.59E+01,3.27E+00,4.12E+00,1.63E+01,G
1.49E+01,1.41E+01,1.71E+01,1.50E+00,4.70E+00,1.60E+01,G
